stream,ID,twi30agg,tpi30agg,accum30,vv30agg,vvsd30agg,npol30agg,NDVI_med,nppmmid30agg,deficitRS,cad30RS,decid30RS,Green_med,NIR_med,cpg30precip,NHDPlus,utm1,utm2,lon,Class,spatial_cluster80,spatial_cluster40,sb_med
X1,1004,6.51504182815552,0.3712158203125,166.589202880859,-9.67535972595215,1.83810293674469,0.229130774736404,0.643095195293427,2490.71215820312,271,-8.92563819885254,0.113411068916321,622.363952636719,2660.73217773438,87718,0,156790.4178,532778.816299999,-115.518285944882,X1,59,39,4
X1,623,5.63143730163574,0.276435017585754,125.468635559082,-5.60995054244995,3.27542209625244,0.427129447460175,0.652068257331848,2094.2255859375,286,-2.13422560691833,0.180381283164024,633.303771972656,2662.16088867188,77830,0,210442.956499999,524846.823799999,-114.784853302605,X1,104,67,3
X1,2718,7.21553564071655,0.23954264819622,608.924194335938,-7.47245979309082,2.57747650146484,0.246425434947014,0.722278594970703,6060.10595703125,253,-5.13667345046997,0.245652660727501,475.076141357422,2309.85595703125,74299,0,167173.1754,547983.5261,-115.393335627357,X1,42,146,9
X1,934,10.3757457733154,0.120212130248547,3424.96264648438,-8.10751914978027,1.46122586727142,0.253842711448669,0.760550022125244,5542.85888671875,353,-6.24341630935669,0.217331364750862,409.281799316406,2182.83642578125,61050,0,213748.029899999,526718.2173,-114.741845735822,X1,93,195,3
X1,2975,6.58494424819946,0.0560574010014534,411.953430175781,-9.76008319854736,3.23074841499329,0.258508145809174,0.632570564746857,3166.92822265625,211,-2.11806297302246,0.13312429189682,582.011962890625,2504.47045898438,92504,0,162767.377800001,549522.3104,-115.454684349042,X1,40,193,8
X1,2156,5.39282894134521,-0.516438782215118,2948.11572265625,-9.06046962738037,1.51234030723572,0.217256307601929,0.743806719779968,5808.2978515625,214,-4.45829057693481,0.257961004972458,347.844970703125,1704.61157226562,84137,1,187599.268300001,541647.8511,-115.110023575682,X1,79,26,4
X1,3202,6.8370509147644,0.307183146476746,212.940689086914,-7.64409875869751,2.28491616249084,0.283079326152802,0.715527415275574,3463.44995117188,226,-3.31452536582947,0.241571202874184,617.419250488281,3236.52319335938,116499,0,161187.177100001,552005.482999999,-115.478697367982,X1,64,175,8
X1,2800,6.77947044372559,-0.239474833011627,299.775268554688,-6.52012062072754,3.81925368309021,0.346070647239685,0.614410102367401,2642.3046875,167,-1.97162866592407,0.198019698262215,586.204833984375,2367.806640625,105295,0,159252.6458,549067.9671,-115.501892244244,X1,94,111,8
X1,2392,7.58148097991943,0.377651631832123,787.922058105469,-7.34934282302856,1.5147180557251,0.280558407306671,0.698107540607452,6549.14404296875,479,-9.01832962036133,0.0746010467410088,486.059020996094,2235.79174804688,55341,0,175708.096799999,545111.217700001,-115.274672466707,X1,23,194,3
X1,1103,5.94952058792114,1.20772302150726,106.247375488281,-5.74743700027466,3.49414777755737,0.401603847742081,0.719231426715851,5453.2255859375,417,-9.91444301605225,0.105192378163338,444.190856933594,2124.912109375,61706,0,213270.092700001,527809.4564,-114.749303131831,X1,93,4,3
