var,rel.inf,cluster,model
accum30,75.79535968555138,cluster.10,gbm_topoclim
nppmmid30agg,11.019855829951565,cluster.10,gbm_topoclim
deficitRS,8.051142065669701,cluster.10,gbm_topoclim
tpi30agg,5.133642418827365,cluster.10,gbm_topoclim
accum30,77.85365400038354,cluster.20,gbm_topoclim
nppmmid30agg,10.020917925376903,cluster.20,gbm_topoclim
deficitRS,8.098819386969328,cluster.20,gbm_topoclim
tpi30agg,4.026608687270224,cluster.20,gbm_topoclim
accum30,79.79108446123625,cluster.30,gbm_topoclim
nppmmid30agg,9.634853176503396,cluster.30,gbm_topoclim
deficitRS,6.815657303578804,cluster.30,gbm_topoclim
tpi30agg,3.7584050586815585,cluster.30,gbm_topoclim
accum30,79.10431890238874,cluster.40,gbm_topoclim
nppmmid30agg,10.0893956313874,cluster.40,gbm_topoclim
deficitRS,6.93561199816298,cluster.40,gbm_topoclim
tpi30agg,3.870673468060874,cluster.40,gbm_topoclim
accum30,79.79108446123625,cluster.50,gbm_topoclim
nppmmid30agg,9.634853176503396,cluster.50,gbm_topoclim
deficitRS,6.815657303578804,cluster.50,gbm_topoclim
tpi30agg,3.7584050586815585,cluster.50,gbm_topoclim
accum30,76.1543122574055,cluster.60,gbm_topoclim
nppmmid30agg,10.674913859462455,cluster.60,gbm_topoclim
deficitRS,8.960456568038666,cluster.60,gbm_topoclim
tpi30agg,4.210317315093389,cluster.60,gbm_topoclim
accum30,77.03434005213651,cluster.70,gbm_topoclim
nppmmid30agg,10.693338828792847,cluster.70,gbm_topoclim
deficitRS,8.072050029995857,cluster.70,gbm_topoclim
tpi30agg,4.200271089074782,cluster.70,gbm_topoclim
accum30,78.98015486408195,cluster.80,gbm_topoclim
nppmmid30agg,10.192084612644956,cluster.80,gbm_topoclim
deficitRS,6.989575341267998,cluster.80,gbm_topoclim
tpi30agg,3.8381851820050983,cluster.80,gbm_topoclim
accum30,82.13613006408345,cluster.90,gbm_topoclim
nppmmid30agg,8.485146166115953,cluster.90,gbm_topoclim
deficitRS,6.093207966547653,cluster.90,gbm_topoclim
tpi30agg,3.2855158032529337,cluster.90,gbm_topoclim
accum30,79.37783279671234,cluster.100,gbm_topoclim
nppmmid30agg,10.008195452186515,cluster.100,gbm_topoclim
deficitRS,7.282140588648408,cluster.100,gbm_topoclim
tpi30agg,3.3318311624527337,cluster.100,gbm_topoclim
